"uid","firstname","lastname","region","departement","circonscription","profession","group","group_short"
"308421","LUCIA","ALBANO","FRATELLI D'ITALIA CON GIORGIA MELONI","proporzionale","MARCHE - P01","Laurea in economia e commercio; Dottore commercialista, Insegnante di scuola secondaria superiore","FRATELLI D'ITALIA (FDI) (18.10.2022","FDI"
"307922","SERGIO","COSTA",,,"CAMPANIA 1 - P01","Laurea in scienze agrarie, Master in diritto dell'ambiente; Generale di Corpo d'armata, Arma dei Carabinieri","MOVIMENTO 5 STELLE (M5S) (18.10.2022","M5S"
"200291","RICCARDO","DE CORATO",,,"LOMBARDIA 1 - P01","Diploma di istituto tecnico commerciale; Dipendente pubblico","FRATELLI D'ITALIA (FDI) (18.10.2022","FDI"
"300469","LUANA","ZANELLA","ALLEANZA VERDI E SINISTRA","proporzionale","VENETO 2 - P02","Laurea in scienze politiche, Specializzazione in diritto del lavoro e della sicurezza sociale; Docente di discipline giuridiche ed economiche","ALLEANZA VERDI E SINISTRA (AVS) (27.10.2022","AVS"
"301531","MARIA ROSARIA","CARFAGNA","AZIONE - ITALIA VIVA - CALENDA","proporzionale","PUGLIA - P04","Laurea in giurisprudenza","NOI MODERATI (NOI CON L'ITALIA, CORAGGIO ITALIA, UDC E ITALIA AL CENTRO)-MAIE-CENTRO POPOLARE (NM(N-C-U-I)M-CP) (27.10.2022","NM(N-C-U-I)M-CP"
"300480","ROBERTO","GIACHETTI","AZIONE - ITALIA VIVA - CALENDA","proporzionale","LAZIO 1 - P01","Diploma di liceo scientifico; Giornalista professionista","AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE (AZ-PER-RE) (18.10.2022","AZ-PER-RE"
"301541","ENRICO","COSTA","AZIONE - ITALIA VIVA - CALENDA","proporzionale","LOMBARDIA 1 - P02","Laurea in giurisprudenza; Avvocato","AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE (AZ-PER-RE) (18.10.2022","AZ-PER-RE"
"301531","MARIA ROSARIA","CARFAGNA","AZIONE - ITALIA VIVA - CALENDA","proporzionale","PUGLIA - P04","Laurea in giurisprudenza","AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE (AZ-PER-RE) (18.10.2022","AZ-PER-RE"
"300674","ETTORE","ROSATO","AZIONE - ITALIA VIVA - CALENDA","proporzionale","CAMPANIA 1 - P02","Diploma di istituto tecnico commerciale; Dipendente di azienda privata","AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE (AZ-PER-RE) (18.10.2022","AZ-PER-RE"
"300319","EDMONDO","CIRIELLI","FRATELLI D'ITALIA CON GIORGIA MELONI","proporzionale","CAMPANIA 2 - P02","Laurea in giurisprudenza, Laurea in scienze politiche, Laurea in scienze della sicurezza interna ed esterna; Generale di brigata dei Carabinieri della riserva","FRATELLI D'ITALIA (FDI) (18.10.2022","FDI"
"300444","MAURIZIO","LEO","FRATELLI D'ITALIA CON GIORGIA MELONI","proporzionale","SICILIA 2 - P01"," Laurea in giurisprudenza; Docente universitario, Avvocato tributarista","FRATELLI D'ITALIA (FDI) (18.10.2022","FDI"
"302069","ARTURO","SCOTTO","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","proporzionale","TOSCANA - P03","Laurea in scienze politiche; Dirigente di partito","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP"
"301541","ENRICO","COSTA","AZIONE - ITALIA VIVA - CALENDA","proporzionale","LOMBARDIA 1 - P02","Laurea in giurisprudenza; Avvocato","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022","FI-PPE"
"300299","ANDREA GIORGIO FELICE MARIA","ORSINI","FORZA ITALIA","proporzionale","LOMBARDIA 4 - P01","Diploma di liceo classico; Dirigente","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022","FI-PPE"
"300497","PAOLO","BARELLI","FORZA ITALIA","proporzionale","LAZIO 1 - P02","Diploma di liceo scientifico; Imprenditore","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022","FI-PPE"
"300480","ROBERTO","GIACHETTI","AZIONE - ITALIA VIVA - CALENDA","proporzionale","LAZIO 1 - P01","Diploma di liceo scientifico; Giornalista professionista","ITALIA VIVA-IL CENTRO-RENEW EUROPE (IV-C-RE) (20.11.2023","IV-C-RE"
"300469","LUANA","ZANELLA","ALLEANZA VERDI E SINISTRA","proporzionale","VENETO 2 - P02","Laurea in scienze politiche, Specializzazione in diritto del lavoro e della sicurezza sociale; Docente di discipline giuridiche ed economiche","MISTO (MISTO) (18.10.2022","MISTO"
"301531","MARIA ROSARIA","CARFAGNA","AZIONE - ITALIA VIVA - CALENDA","proporzionale","PUGLIA - P04","Laurea in giurisprudenza","MISTO (MISTO) (18.10.2022","MISTO"
"302080","ANGELO","BONELLI",,,"EMILIA-ROMAGNA - P02","Diploma di istituto tecnico per geometri","ALLEANZA VERDI E SINISTRA (AVS) (27.10.2022","AVS"
"301439","LORENZO","CESA",,,"MOLISE - P01","Laurea in scienze politiche; Parlamentare","NOI MODERATI (NOI CON L'ITALIA, CORAGGIO ITALIA, UDC E ITALIA AL CENTRO)-MAIE-CENTRO POPOLARE (NM(N-C-U-I)M-CP) (27.10.2022","NM(N-C-U-I)M-CP"
"300447","MAURIZIO ENZO","LUPI",,,"LOMBARDIA 2 - P02","Laurea in scienze politiche; Dirigente di azienda privata","NOI MODERATI (NOI CON L'ITALIA, CORAGGIO ITALIA, UDC E ITALIA AL CENTRO)-MAIE-CENTRO POPOLARE (NM(N-C-U-I)M-CP) (27.10.2022","NM(N-C-U-I)M-CP"
"300369","FRANCESCO SAVERIO","ROMANO",,,"SICILIA 1 - P01","Laurea in giurisprudenza; Avvocato","NOI MODERATI (NOI CON L'ITALIA, CORAGGIO ITALIA, UDC E ITALIA AL CENTRO)-MAIE-CENTRO POPOLARE (NM(N-C-U-I)M-CP) (27.10.2022","NM(N-C-U-I)M-CP"
"301459","LAURA","RAVETTO",,,"LOMBARDIA 1 - P01","Laurea in giurisprudenza; Avvocato","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"301457","PAOLA","FRASSINETTI",,,"LOMBARDIA 1 - P02","Laurea in giurisprudenza; Avvocato","FRATELLI D'ITALIA (FDI) (18.10.2022","FDI"
"301558","ELISABETTA","GARDINI",,,"VENETO 2 - P01","Diploma di liceo classico, Diploma alla bottega teatrale di Firenze di VIttorio Gassman; Attrice di teatro","FRATELLI D'ITALIA (FDI) (18.10.2022","FDI"
"301436","FABIO","RAMPELLI",,,"LAZIO 1 - P01","Laurea in architettura; Architetto","FRATELLI D'ITALIA (FDI) (18.10.2022","FDI"
"301439","LORENZO","CESA",,,"MOLISE - P01","Laurea in scienze politiche; Parlamentare","MISTO (MISTO) (18.10.2022","MISTO"
"300447","MAURIZIO ENZO","LUPI",,,"LOMBARDIA 2 - P02","Laurea in scienze politiche; Dirigente di azienda privata","MISTO (MISTO) (18.10.2022","MISTO"
"300369","FRANCESCO SAVERIO","ROMANO",,,"SICILIA 1 - P01","Laurea in giurisprudenza; Avvocato","MISTO (MISTO) (18.10.2022","MISTO"
